"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122583","124543","129300","136968","198133","141777","146903","147442","149307","153092","151006","150433","149757","148999","148193","147379","146099","145105","145401","144320","144688","145133","146145","147377","149002","149721","150505","151020","151429","151865","152227","",
"Afghanistan","AFG","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5344","5377","5484","5600","5621","5548","5307","5020","4717","4457","4271","4166","4107","4072","4055","4077","4106","4230","4487","4922","5555","6416","7467","8675","9889","10922","11583","11908","12044","12081","12079","",
"Africa Western and Central","AFW","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75178","74285","75011","75883","76708","77805","78107","78802","79507","80209","80859","81356","81882","82643","83046","83675","83954","84366","84842","85408","86158","86859","87780","88863","90094","91372","92134","93064","93672","94396","94507","",
"Angola","AGO","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6996","7252","7478","7685","7904","8146","8369","8600","8827","9047","9237","9371","9481","9556","9575","9558","9458","9346","9211","9066","8928","8770","8619","8503","8433","8413","8439","8501","8577","8670","8794","",
"Albania","ALB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209","216","220","222","223","226","224","268","216","207","196","185","176","169","166","164","160","156","153","150","148","144","137","128","116","104","94","85","78","71","64","",
"Andorra","AND","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","",
"Arab World","ARB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37248","37561","36496","36799","37397","37747","38123","38316","38322","38182","38053","38070","38180","38307","38384","38429","38539","38452","39457","38589","38795","39258","42047","43472","43622","43086","42393","42021","42634","41869","41059","",
"United Arab Emirates","ARE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89","95","96","96","94","93","105","114","117","116","115","133","143","146","145","143","179","201","204","189","166","175","180","179","172","159","179","189","192","189","181","",
"Argentina","ARG","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2060","2105","2182","2273","2355","2423","2476","2515","2541","2559","2566","2541","2495","2443","2402","2390","2430","2517","2617","2706","2777","2828","2844","2812","2740","2651","2560","2471","2376","2273","2172","",
"Armenia","ARM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134","143","187","234","244","222","193","165","142","125","115","108","106","108","111","114","115","115","115","116","114","104","92","87","92","101","106","104","92","73","58","",
"American Samoa","ASM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7","7","7","7","6","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","4","4","",
"Australia","AUS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","904","836","777","734","713","715","724","739","746","729","687","646","609","580","560","548","550","545","533","518","503","495","484","469","455","445","443","448","458","472","488","",
"Austria","AUT","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","365","356","346","334","321","306","290","280","274","269","264","264","261","256","250","243","235","227","218","207","193","180","166","152","141","132","127","124","123","121","119","",
